,open,high,low,close,volume,idx_stamp,VWAP_D
2021-08-27 10:00:00,3165.7,3234.18,3159.96,3224.29,37067.10864,2021-08-27 10:00:00,3143.4897428137037
2021-08-27 10:30:00,3224.64,3241.86,3219.97,3228.79,17806.97737,2021-08-27 10:30:00,3150.9765043584234
2021-08-27 11:00:00,3228.84,3250.81,3225.34,3233.79,26138.1522,2021-08-27 11:00:00,3160.6122441767484
2021-08-27 11:30:00,3233.79,3240.72,3219.46,3238.97,14774.8711,2021-08-27 11:30:00,3164.94236573619
2021-08-27 12:00:00,3238.96,3250.0,3220.16,3231.89,16773.2906,2021-08-27 12:00:00,3169.3320253604475
2021-08-27 12:30:00,3231.89,3242.0,3231.69,3232.01,6059.1248,2021-08-27 12:30:00,3170.8109390729396
2021-08-27 13:00:00,3232.0,3241.38,3231.75,3238.94,5617.5293,2021-08-27 13:00:00,3172.1672563762845
2021-08-27 13:30:00,3238.93,3244.25,3230.0,3232.69,5551.4798,2021-08-27 13:30:00,3173.4206190561217
2021-08-27 14:00:00,3232.69,3238.99,3230.83,3236.82,3766.08,2021-08-27 14:00:00,3174.2417640686594
2021-08-27 14:30:00,3236.82,3239.63,3226.5,3229.95,4365.2972,2021-08-27 14:30:00,3175.1136941856457
2021-08-27 15:00:00,3229.95,3244.0,3227.34,3229.56,6510.8245,2021-08-27 15:00:00,3176.401722572226
2021-08-27 15:30:00,3229.56,3234.8,3224.59,3232.36,9301.7189,2021-08-27 15:30:00,3178.0535203277877
2021-08-27 16:00:00,3232.36,3266.81,3222.63,3266.79,26877.41643,2021-08-27 16:00:00,3184.046347807035
2021-08-27 16:30:00,3266.8,3276.7,3255.4,3262.41,12984.93398,2021-08-27 16:30:00,3187.0873251198295
2021-08-27 17:00:00,3262.4,3276.69,3257.76,3266.55,5208.5211,2021-08-27 17:00:00,3188.275926143665
2021-08-27 17:30:00,3266.55,3276.89,3264.72,3274.06,3982.8469,2021-08-27 17:30:00,3189.2162281630362
2021-08-27 18:00:00,3274.06,3275.35,3253.89,3260.01,5416.5608,2021-08-27 18:00:00,3190.328926147392
2021-08-27 18:30:00,3260.0,3273.85,3260.0,3273.85,4662.9297,2021-08-27 18:30:00,3191.3390326112917
2021-08-27 19:00:00,3273.84,3280.0,3261.86,3266.32,7442.35907,2021-08-27 19:00:00,3192.901929307667
2021-08-27 19:30:00,3266.32,3274.98,3260.2,3273.45,6788.122,2021-08-27 19:30:00,3194.2765280374006
2021-08-27 20:00:00,3273.89,3287.0,3257.03,3273.06,11722.48411,2021-08-27 20:00:00,3196.622446355154
2021-08-27 20:30:00,3273.06,3283.13,3264.45,3267.87,7809.5807,2021-08-27 20:30:00,3198.0978859666507
2021-08-27 21:00:00,3267.87,3270.42,3251.63,3257.32,6898.88,2021-08-27 21:00:00,3199.149010401834
2021-08-27 21:30:00,3257.31,3265.3,3256.73,3260.26,4836.5255,2021-08-27 21:30:00,3199.876294717961
2021-08-27 22:00:00,3260.27,3260.27,3248.24,3258.23,5374.1298,2021-08-27 22:00:00,3200.5974390193273
2021-08-27 22:30:00,3258.23,3259.06,3239.23,3245.13,5015.7829,2021-08-27 22:30:00,3201.161050081579
2021-08-27 23:00:00,3245.13,3250.96,3240.14,3249.77,3228.0589,2021-08-27 23:00:00,3201.5102347163347
2021-08-27 23:30:00,3249.76,3256.7,3243.31,3244.46,3666.8304,2021-08-27 23:30:00,3201.910781897734
2021-08-28 00:00:00,3244.46,3258.64,3244.45,3247.54,5053.9828,2021-08-28 00:00:00,3250.2100000000005
2021-08-28 00:30:00,3247.53,3254.0,3243.0,3248.62,3821.858,2021-08-28 00:30:00,3249.4909128730656
2021-08-28 01:00:00,3248.62,3251.18,3237.05,3245.98,4800.6227,2021-08-28 01:00:00,3247.8221084880847
2021-08-28 01:30:00,3245.98,3248.99,3233.83,3241.41,3909.3374,2021-08-28 01:30:00,3246.3966917175967
2021-08-28 02:00:00,3241.01,3251.51,3225.77,3251.05,8829.7865,2021-08-28 02:00:00,3245.1866467604154
2021-08-28 02:30:00,3251.05,3254.09,3240.69,3245.65,2952.1679,2021-08-28 02:30:00,3245.349832924128
2021-08-28 03:00:00,3245.65,3245.65,3223.3,3239.56,6319.8886,2021-08-28 03:00:00,3243.724185638203
2021-08-28 03:30:00,3239.55,3240.1,3229.38,3230.16,5646.5096,2021-08-28 03:30:00,3242.2883360218893
2021-08-28 04:00:00,3230.28,3249.4,3229.48,3244.45,7512.0072,2021-08-28 04:00:00,3242.1071207829928
2021-08-28 04:30:00,3244.45,3248.0,3237.0,3238.72,2788.1731,2021-08-28 04:30:00,3242.060297619728
2021-08-28 05:00:00,3238.71,3249.0,3237.76,3247.1,3627.7015,2021-08-28 05:00:00,3242.228330449392
2021-08-28 05:30:00,3247.26,3259.0,3240.94,3247.38,7249.6856,2021-08-28 05:30:00,3243.026033253097
2021-08-28 06:00:00,3247.38,3249.75,3241.0,3249.01,3902.9648,2021-08-28 06:00:00,3243.235279547533
2021-08-28 06:30:00,3249.01,3249.99,3238.01,3239.5,4272.6407,2021-08-28 06:30:00,3243.190836144724
2021-08-28 07:00:00,3239.51,3241.97,3231.45,3234.48,4738.3165,2021-08-28 07:00:00,3242.7370063844387
2021-08-28 07:30:00,3234.48,3238.39,3210.31,3222.24,13072.2149,2021-08-28 07:30:00,3239.9171299545624
2021-08-28 08:00:00,3222.24,3238.69,3220.19,3227.2,9186.215,2021-08-28 08:00:00,3238.8616435694894
2021-08-28 08:30:00,3227.02,3247.93,3220.0,3240.14,7949.3944,2021-08-28 08:30:00,3238.6480479345564
2021-08-28 09:00:00,3240.13,3242.16,3225.8,3226.51,6798.5626,2021-08-28 09:00:00,3238.215213651804
2021-08-28 09:30:00,3226.51,3235.86,3223.31,3229.61,5581.2877,2021-08-28 09:30:00,3237.807452938083
2021-08-28 10:00:00,3229.61,3234.67,3219.22,3222.84,5356.9138,2021-08-28 10:00:00,3237.27637451607
2021-08-28 10:30:00,3222.84,3227.9,3211.01,3227.58,7302.5028,2021-08-28 10:30:00,3236.4317987419918
2021-08-28 11:00:00,3227.59,3234.84,3218.3,3226.19,5187.7918,2021-08-28 11:00:00,3236.050392306249
2021-08-28 11:30:00,3226.18,3247.0,3226.13,3246.15,5810.7254,2021-08-28 11:30:00,3236.202543935124
2021-08-28 12:00:00,3246.38,3254.19,3235.64,3253.0,9579.1206,2021-08-28 12:00:00,3236.9250109017303
2021-08-28 12:30:00,3253.0,3265.0,3245.91,3246.76,9005.0503,2021-08-28 12:30:00,3237.803382719065
2021-08-28 13:00:00,3246.76,3251.43,3237.86,3247.58,7505.2329,2021-08-28 13:00:00,3238.153229651837
2021-08-28 13:30:00,3247.57,3249.6,3242.8,3244.89,3513.3066,2021-08-28 13:30:00,3238.309334101255
2021-08-28 14:00:00,3244.87,3250.0,3241.25,3245.29,2672.167,2021-08-28 14:00:00,3238.420002209594
2021-08-28 14:30:00,3245.29,3248.87,3238.23,3239.26,2832.3035,2021-08-28 14:30:00,3238.479282725669
2021-08-28 15:00:00,3239.27,3239.27,3222.32,3224.09,8364.2663,2021-08-28 15:00:00,3238.031155292642
2021-08-28 15:30:00,3224.09,3232.73,3220.0,3230.24,4165.8496,2021-08-28 15:30:00,3237.802858368248
2021-08-28 16:00:00,3230.24,3240.58,3226.91,3232.09,2842.8677,2021-08-28 16:00:00,3237.7346607451414
2021-08-28 16:30:00,3232.09,3238.64,3228.62,3237.32,2441.1263,2021-08-28 16:30:00,3237.6985986747623
2021-08-28 17:00:00,3237.16,3246.22,3234.63,3245.87,2840.0754,2021-08-28 17:00:00,3237.763926898379
2021-08-28 17:30:00,3245.85,3249.93,3245.01,3247.36,2488.0605,2021-08-28 17:30:00,3237.8842649667067
2021-08-28 18:00:00,3247.37,3254.65,3242.23,3244.23,5156.59,2021-08-28 18:00:00,3238.114398630678
2021-08-28 18:30:00,3244.23,3245.71,3228.8,3233.71,3257.8609,2021-08-28 18:30:00,3238.0824812729975
2021-08-28 19:00:00,3233.59,3245.91,3233.28,3236.99,2822.7587,2021-08-28 19:00:00,3238.0910927435184
